#{"t_start": 1782120639.2290294, "env_id": "None"}
r,l,t
-278.286033,3600,6153.780918
-1.994777,3600,6191.258633
-491.437136,3600,6226.761288
-48.404011,3600,6263.351826
-10.545676,3600,6299.962364
-593.301539,3600,6337.158736
-36.789159,3600,6373.259347
-199.198608,3600,6413.681831
-543.7977,3600,6460.132385
-28.610883,3600,6501.657884
-598.651744,3600,6546.658357
-181.216121,3600,6587.952708
-9.138438,3600,6627.148281
-63.193336,3600,6667.922478
-19.803315,3600,6707.996578
-421.541098,3600,6749.200723
-982.986041,3600,6790.984428
-6.93929,3600,6827.883292
-3.944224,3600,6867.201582
-679.72071,3600,6911.153732
-8.355264,3600,6949.354152
-35.150698,3600,6989.109805
-181.490678,3600,7030.150632
-28.45296,3600,7069.876822
-241.545396,3600,7110.872452
-15.964843,3600,7150.113991
-5.114601,3600,7188.67146
-5.514985,3600,7227.17223
-79.536581,3600,7266.054835
-2.721513,3600,7303.972112
-3.383571,3600,7341.884319
-80.139321,3600,7380.913521
-124.166294,3600,7420.299386
-41.478403,3600,7461.029849
-6.402841,3600,7500.498391
-23.786524,3600,7539.278786
-47.926468,3600,7579.358345
-10.379529,3600,7619.217145
-55.437967,3600,7658.613793
-120.945435,3600,7698.591948
-122.869563,3600,7738.073675
-1383.915673,3600,7781.415831
-15.420532,3600,7820.378092
-15.407146,3600,7858.300441
-17.849454,3600,7896.642431
-59.648016,3600,7935.955766
-223.832833,3600,7976.029275
-2.924501,3600,8015.383955
-147.303742,3600,8055.32799
-116.072007,3600,8094.505093
-66.100697,3600,8133.436843
-186.154034,3600,8174.36376
-13.509547,3600,8214.054941
-122.491713,3600,8254.132099
-299.011326,3600,8295.385026
-12.551842,3600,8334.613986
-2053.91102,3600,8378.902133
-43.432576,3600,8418.965221
-1845.330221,3600,8462.235512
-354.039666,3600,8504.073395
-115.092251,3600,8543.670638
-260.99301,3600,8584.393986
-1390.558658,3600,8628.568136
-38.461088,3600,8672.78337
-745.848547,3600,8716.868707
-1815.825692,3600,8768.225909
-143.335387,3600,8807.149416
-112.71915,3600,8847.130906
-46.279556,3600,8885.359511
-6.654093,3600,8923.684747
-8.355297,3600,8962.592835
-132.718921,3600,9002.647221
-160.49156,3600,9042.352968
-361.153179,3600,9081.026286
-25.665623,3600,9124.284051
-95.296522,3600,9167.364501
-654.200351,3600,9210.279573
-189.798086,3600,9250.978575
