#{"t_start": 1781431384.0562732, "env_id": "None"}
r,l,t
-8788.959131,3600,4554.586467
-9643.465129,3600,4576.355783
-9418.140828,3600,4598.318275
-11921.29397,3600,4620.242692
-9845.325348,3600,4642.129974
-10087.166156,3600,4664.376146
-13515.099502,3600,4686.10159
-11347.25817,3600,4708.446477
-8082.722129,3600,4729.919322
-9239.92446,3600,4751.75549
-10222.046923,3600,4773.569916
-8280.73596,3600,4794.933495
-12221.450727,3600,4817.003418
-12090.75273,3600,4838.737329
-9693.868922,3600,4860.67555
-10776.176024,3600,4882.174409
-9527.178959,3600,4904.481318
-12944.219582,3600,4926.147031
-12530.772512,3600,4947.952828
-9834.980951,3600,4970.289364
-11431.137687,3600,4992.505584
-8984.259337,3600,5013.843384
-9358.252616,3600,5036.106062
-11371.152509,3600,5058.061718
-11589.392769,3600,5079.432426
-8363.550707,3600,5101.448452
-8485.767121,3600,5123.129009
-8814.0386,3600,5144.800683
-11040.102365,3600,5166.470212
-13850.643662,3600,5188.958368
-10491.181886,3600,5210.630773
-11626.76973,3600,5232.355795
-9739.623185,3600,5254.407799
-11351.049993,3600,5276.256059
-11158.911209,3600,5298.592632
-10350.657885,3600,5322.22222
-11232.195139,3600,5344.677906
-11744.091037,3600,5366.859953
-8881.226514,3600,5388.948056
-10769.726055,3600,5410.523863
-10753.146599,3600,5432.360278
-9260.328249,3600,5453.785641
-10243.633038,3600,5475.782987
-9553.0257,3600,5497.466926
-9055.972729,3600,5519.227697
-10219.833342,3600,5541.776239
-10412.707719,3600,5564.076387
-9591.243445,3600,5585.727151
-10293.676817,3600,5608.2691
-9952.999057,3600,5629.374923
-10294.846913,3600,5650.695059
-10275.666503,3600,5672.000253
-9775.91414,3600,5693.735666
-11678.324718,3600,5715.261926
-9143.370815,3600,5737.019786
-9938.738673,3600,5758.902874
-8362.006418,3600,5780.50835
-11340.132829,3600,5802.226398
-10559.418093,3600,5824.326088
-9829.609367,3600,5846.444177
-11235.749766,3600,5867.94101
-10081.401995,3600,5889.413234
-9316.008011,3600,5911.623416
-10762.836146,3600,5933.483306
-10072.289541,3600,5955.33253
-11754.347613,3600,5977.56729
-8894.574689,3600,5999.046624
